title,genre,subgenre,vocal_gender,mood,target_bpm,energy_score,activity_fit,hook_timing,style_influence,weirdness,minimum_duration_seconds,vocals_required,similarity_cluster,suno_prompt,status
Wild Static,Female Mainstream Pop,Pop Banger,female,playful,127,9,girls night out,0:08,70,51,162,TRUE,femal-c15,"Pop Banger, playful female lead vocal, anthemic stadium delivery; 127 BPM; production: vocal chops topline, bright piano hits, tight pop guitar; theme: main character energy; hook at 0:08 (pre-chorus build into anthemic hook); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Cherry Heat,Female Mainstream Pop,Empowerment Pop,female,lovestruck,123,6,girls night out,0:06,76,50,154,TRUE,femal-c15,"Empowerment Pop, lovestruck female lead vocal, playful vocal runs; 123 BPM; production: tight pop guitar, punchy radio drums, shimmering synth stacks; theme: messy in love; hook at 0:06 (melodic ad-lib hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Champagne Riot Reprise,Female Mainstream Pop,Empowerment Pop,female,yearning,130,9,summer rooftop,0:04,65,44,150,TRUE,femal-c15,"Empowerment Pop, yearning female lead vocal, intimate close-mic to belted release; 130 BPM; production: bright piano hits, glossy reverb vocals, saturated low end; theme: we're not friends anymore; hook at 0:04 (echoed call-and-response hook); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Lavender Lights,Female Mainstream Pop,Bubblegum Pop,female,anthemic,98,6,pop radio drive,0:06,68,40,181,TRUE,femal-c15,"Bubblegum Pop, anthemic female lead vocal, intimate close-mic to belted release; 98 BPM; production: shimmering synth stacks, sidechain pulse, claps and snaps; theme: self-love anthem; hook at 0:06 (pre-chorus build into anthemic hook); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Plastic Heaven,Female Mainstream Pop,Glossy Radio Pop,female,fiery,112,6,main character moment,0:08,72,49,117,TRUE,femal-c15,"Glossy Radio Pop, fiery female lead vocal, double-tracked hook stack; 112 BPM; production: claps and snaps, glossy reverb vocals, filtered build-up; theme: post-breakup glow-up; hook at 0:08 (echoed call-and-response hook); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Lavender Kisses,Female Mainstream Pop,Stadium Pop,female,hopeful,101,6,gym cardio,0:10,70,55,205,TRUE,femal-c15,"Stadium Pop, hopeful female lead vocal, double-tracked hook stack; 101 BPM; production: punchy radio drums, saturated low end, vocal chops topline; theme: post-breakup glow-up; hook at 0:10 (earworm vowel-loop hook); TikTok-hook-first arrangement; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Boy Girl,Female Mainstream Pop,Bubblegum Pop,female,flirty,107,7,pop radio drive,0:06,75,41,201,TRUE,femal-c16,"Bubblegum Pop, flirty female lead vocal, double-tracked hook stack; 107 BPM; production: tight pop guitar, FM synth bell, shimmering synth stacks; theme: first kiss again; hook at 0:06 (melodic ad-lib hook); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Hollywood Riot (feat. The Night) III,Female Mainstream Pop,Pop Banger,female,confident,127,7,pop radio drive,0:06,79,43,120,TRUE,femal-c16,"Pop Banger, confident female lead vocal, breathy verse, huge chorus; 127 BPM; production: saturated low end, bright piano hits, claps and snaps; theme: champagne crash; hook at 0:06 (pre-chorus build into anthemic hook); billboard-ready master; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Sunset Girl,Female Mainstream Pop,Empowerment Pop,female,playful,115,8,girls night out,0:10,68,54,148,TRUE,femal-c16,"Empowerment Pop, playful female lead vocal, double-tracked hook stack; 115 BPM; production: shimmering synth stacks, filtered build-up, vocal chops topline; theme: owning the room; hook at 0:10 (single-line repeatable hook); modern emotional retention design; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Pink Heaven (feat. The Night),Female Mainstream Pop,Empowerment Pop,female,fiery,125,8,girls night out,0:06,71,53,116,TRUE,femal-c16,"Empowerment Pop, fiery female lead vocal, playful vocal runs; 125 BPM; production: claps and snaps, sidechain pulse, tight pop guitar; theme: self-love anthem; hook at 0:06 (pre-chorus build into anthemic hook); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Famous Static,Female Mainstream Pop,Bubblegum Pop,female,flirty,128,9,dance floor,0:08,73,47,159,TRUE,femal-c16,"Bubblegum Pop, flirty female lead vocal, playful vocal runs; 128 BPM; production: saturated low end, bright piano hits, stadium-snare backbeat; theme: summer fling; hook at 0:08 (earworm vowel-loop hook); modern radio-ready mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Honey Trouble,Female Mainstream Pop,Y2K-Inspired Pop,female,playful,132,9,gym cardio,0:04,69,54,128,TRUE,femal-c16,"Y2K-Inspired Pop, playful female lead vocal, breathy verse, huge chorus; 132 BPM; production: FM synth bell, filtered build-up, stadium-snare backbeat; theme: owning the room; hook at 0:04 (echoed call-and-response hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Glossy Drama Pt. 2,Female Mainstream Pop,Stadium Pop,female,anthemic,119,8,main character moment,0:10,76,50,147,TRUE,femal-c16,"Stadium Pop, anthemic female lead vocal, playful vocal runs; 119 BPM; production: saturated low end, FM synth bell, claps and snaps; theme: champagne crash; hook at 0:10 (name-drop hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Pretty Dynasty,Female Mainstream Pop,Pop Banger,female,iconic,99,9,pop radio drive,0:06,71,50,142,TRUE,femal-c16,"Pop Banger, iconic female lead vocal, playful vocal runs; 99 BPM; production: FM synth bell, vocal chops topline, shimmering synth stacks; theme: champagne crash; hook at 0:06 (echoed call-and-response hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Cherry Hours,Female Mainstream Pop,Pop Banger,female,euphoric,121,7,girls night out,0:08,72,43,187,TRUE,femal-c16,"Pop Banger, euphoric female lead vocal, breathy verse, huge chorus; 121 BPM; production: saturated low end, vocal chops topline, sidechain pulse; theme: we're not friends anymore; hook at 0:08 (earworm vowel-loop hook); sync-license cinematic finish; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Lavender Drama,Female Mainstream Pop,Glossy Radio Pop,female,lovestruck,131,7,girls night out,0:06,67,53,112,TRUE,femal-c16,"Glossy Radio Pop, lovestruck female lead vocal, intimate close-mic to belted release; 131 BPM; production: stadium-snare backbeat, saturated low end, vocal chops topline; theme: summer fling; hook at 0:06 (name-drop hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Wild Riot (feat. The Night),Female Mainstream Pop,Y2K-Inspired Pop,female,playful,107,7,gym cardio,0:06,80,45,117,TRUE,femal-c17,"Y2K-Inspired Pop, playful female lead vocal, breathy verse, huge chorus; 107 BPM; production: claps and snaps, stadium-snare backbeat, glossy reverb vocals; theme: good girl bad night; hook at 0:06 (single-line repeatable hook); billboard-ready master; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Summer Riot (feat. The Night),Female Mainstream Pop,Bubblegum Pop,female,iconic,118,7,gym cardio,0:04,80,45,146,TRUE,femal-c17,"Bubblegum Pop, iconic female lead vocal, breathy verse, huge chorus; 118 BPM; production: glossy reverb vocals, vocal chops topline, bright piano hits; theme: self-love anthem; hook at 0:04 (phone-number style chant); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Diamond Static (feat. The Night),Female Mainstream Pop,Pop Banger,female,lovestruck,124,8,main character moment,0:10,75,43,136,TRUE,femal-c17,"Pop Banger, lovestruck female lead vocal, breathy verse, huge chorus; 124 BPM; production: stadium-snare backbeat, filtered build-up, sidechain pulse; theme: self-love anthem; hook at 0:10 (single-line repeatable hook); billboard-ready master; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Famous Tonight,Female Mainstream Pop,Glossy Radio Pop,female,iconic,115,6,gym cardio,0:06,72,51,181,TRUE,femal-c17,"Glossy Radio Pop, iconic female lead vocal, playful vocal runs; 115 BPM; production: glossy reverb vocals, shimmering synth stacks, saturated low end; theme: summer fling; hook at 0:06 (melodic ad-lib hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Honey Sky,Female Mainstream Pop,Stadium Pop,female,playful,108,6,girls night out,0:10,65,51,162,TRUE,femal-c17,"Stadium Pop, playful female lead vocal, breathy verse, huge chorus; 108 BPM; production: sidechain pulse, shimmering synth stacks, glossy reverb vocals; theme: we're not friends anymore; hook at 0:10 (earworm vowel-loop hook); TikTok-hook-first arrangement; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Wild Kisses,Female Mainstream Pop,Pop Banger,female,hopeful,107,9,pop radio drive,0:06,70,40,208,TRUE,femal-c17,"Pop Banger, hopeful female lead vocal, anthemic stadium delivery; 107 BPM; production: bright piano hits, glossy reverb vocals, claps and snaps; theme: summer fling; hook at 0:06 (name-drop hook); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Famous Lights,Female Mainstream Pop,Empowerment Pop,female,heartbroken-but-hot,115,8,pop radio drive,0:06,71,43,143,TRUE,femal-c17,"Empowerment Pop, heartbroken-but-hot female lead vocal, breathy verse, huge chorus; 115 BPM; production: filtered build-up, tight pop guitar, stadium-snare backbeat; theme: messy in love; hook at 0:06 (single-line repeatable hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Cherry Lights,Female Mainstream Pop,Empowerment Pop,female,iconic,104,6,pop radio drive,0:10,72,51,149,TRUE,femal-c17,"Empowerment Pop, iconic female lead vocal, intimate close-mic to belted release; 104 BPM; production: stadium-snare backbeat, sidechain pulse, glossy reverb vocals; theme: good girl bad night; hook at 0:10 (two-word chant hook); sync-license cinematic finish; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Diamond Lover II,Female Mainstream Pop,Pop Banger,female,playful,132,8,gym cardio,0:08,73,52,160,TRUE,femal-c17,"Pop Banger, playful female lead vocal, bright belted chorus; 132 BPM; production: bright piano hits, FM synth bell, filtered build-up; theme: post-breakup glow-up; hook at 0:08 (title-as-hook payoff); modern emotional retention design; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Famous Habit,Female Mainstream Pop,Pop Banger,female,fiery,120,7,summer rooftop,0:04,78,40,182,TRUE,femal-c17,"Pop Banger, fiery female lead vocal, playful vocal runs; 120 BPM; production: FM synth bell, filtered build-up, saturated low end; theme: first kiss again; hook at 0:04 (melodic ad-lib hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Loud Mood (feat. The Night),Female Mainstream Pop,Stadium Pop,female,euphoric,124,9,dance floor,0:06,76,51,172,TRUE,femal-c18,"Stadium Pop, euphoric female lead vocal, breathy verse, huge chorus; 124 BPM; production: FM synth bell, claps and snaps, filtered build-up; theme: we're not friends anymore; hook at 0:06 (single-line repeatable hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Wild Drama,Female Mainstream Pop,Pop Banger,female,euphoric,110,6,gym cardio,0:04,65,41,104,TRUE,femal-c18,"Pop Banger, euphoric female lead vocal, anthemic stadium delivery; 110 BPM; production: bright piano hits, claps and snaps, punchy radio drums; theme: post-breakup glow-up; hook at 0:04 (post-chorus 'oh-oh' tag); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Cherry Kisses III,Female Mainstream Pop,Empowerment Pop,female,celebratory,102,6,summer rooftop,0:10,76,51,121,TRUE,femal-c18,"Empowerment Pop, celebratory female lead vocal, intimate close-mic to belted release; 102 BPM; production: punchy radio drums, shimmering synth stacks, claps and snaps; theme: we're not friends anymore; hook at 0:10 (melodic ad-lib hook); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Lavender Girl,Female Mainstream Pop,Stadium Pop,female,celebratory,119,6,gym cardio,0:08,70,48,204,TRUE,femal-c18,"Stadium Pop, celebratory female lead vocal, double-tracked hook stack; 119 BPM; production: sidechain pulse, stadium-snare backbeat, tight pop guitar; theme: best friend nights; hook at 0:08 (pre-chorus build into anthemic hook); modern emotional retention design; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Famous Drama,Female Mainstream Pop,Bubblegum Pop,female,heartbroken-but-hot,99,8,summer rooftop,0:10,70,50,103,TRUE,femal-c18,"Bubblegum Pop, heartbroken-but-hot female lead vocal, double-tracked hook stack; 99 BPM; production: vocal chops topline, bright piano hits, stadium-snare backbeat; theme: good girl bad night; hook at 0:10 (two-word chant hook); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Wild Sky (feat. The Night) Reborn,Female Mainstream Pop,Glossy Radio Pop,female,fiery,124,6,pop radio drive,0:06,79,55,110,TRUE,femal-c18,"Glossy Radio Pop, fiery female lead vocal, anthemic stadium delivery; 124 BPM; production: sidechain pulse, bright piano hits, FM synth bell; theme: I'm the moment; hook at 0:06 (phone-number style chant); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Plastic Tonight (feat. The Night),Female Mainstream Pop,Glossy Radio Pop,female,hopeful,112,9,summer rooftop,0:10,73,46,131,TRUE,femal-c18,"Glossy Radio Pop, hopeful female lead vocal, bright belted chorus; 112 BPM; production: vocal chops topline, glossy reverb vocals, bright piano hits; theme: best friend nights; hook at 0:10 (two-word chant hook); sync-license cinematic finish; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Wild Lights,Female Mainstream Pop,Empowerment Pop,female,flirty,121,9,dance floor,0:04,67,49,137,TRUE,femal-c18,"Empowerment Pop, flirty female lead vocal, double-tracked hook stack; 121 BPM; production: punchy radio drums, vocal chops topline, shimmering synth stacks; theme: summer fling; hook at 0:04 (pre-chorus build into anthemic hook); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Crash Tonight (feat. The Night),Female Mainstream Pop,Stadium Pop,female,confident,116,6,pop radio drive,0:04,74,54,169,TRUE,femal-c18,"Stadium Pop, confident female lead vocal, bright belted chorus; 116 BPM; production: vocal chops topline, filtered build-up, punchy radio drums; theme: we're not friends anymore; hook at 0:04 (melodic ad-lib hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Hollywood Kisses (feat. The Night),Female Mainstream Pop,Stadium Pop,female,euphoric,126,6,pop radio drive,0:08,80,47,130,TRUE,femal-c18,"Stadium Pop, euphoric female lead vocal, double-tracked hook stack; 126 BPM; production: claps and snaps, filtered build-up, shimmering synth stacks; theme: main character energy; hook at 0:08 (post-chorus 'oh-oh' tag); sync-license cinematic finish; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Honey Heat,Female Mainstream Pop,Bubblegum Pop,female,playful,108,7,pop radio drive,0:06,66,45,182,TRUE,femal-c19,"Bubblegum Pop, playful female lead vocal, playful vocal runs; 108 BPM; production: stadium-snare backbeat, bright piano hits, FM synth bell; theme: main character energy; hook at 0:06 (two-word chant hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Champagne Hours,Female Mainstream Pop,Y2K-Inspired Pop,female,euphoric,124,6,girls night out,0:08,79,48,171,TRUE,femal-c19,"Y2K-Inspired Pop, euphoric female lead vocal, breathy verse, huge chorus; 124 BPM; production: saturated low end, claps and snaps, sidechain pulse; theme: main character energy; hook at 0:08 (two-word chant hook); TikTok-hook-first arrangement; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Plastic Tonight,Female Mainstream Pop,Empowerment Pop,female,lovestruck,117,7,summer rooftop,0:10,70,53,145,TRUE,femal-c19,"Empowerment Pop, lovestruck female lead vocal, double-tracked hook stack; 117 BPM; production: claps and snaps, glossy reverb vocals, vocal chops topline; theme: messy in love; hook at 0:10 (echoed call-and-response hook); billboard-ready master; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Lavender Crown III,Female Mainstream Pop,Stadium Pop,female,euphoric,108,8,gym cardio,0:04,69,41,96,TRUE,femal-c19,"Stadium Pop, euphoric female lead vocal, anthemic stadium delivery; 108 BPM; production: claps and snaps, vocal chops topline, filtered build-up; theme: I'm the moment; hook at 0:04 (title-as-hook payoff); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Boy Kisses,Female Mainstream Pop,Empowerment Pop,female,anthemic,119,6,pop radio drive,0:08,70,52,93,TRUE,femal-c19,"Empowerment Pop, anthemic female lead vocal, playful vocal runs; 119 BPM; production: stadium-snare backbeat, glossy reverb vocals, filtered build-up; theme: I'm the moment; hook at 0:08 (pre-chorus build into anthemic hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Plastic Mood (feat. The Night),Female Mainstream Pop,Bubblegum Pop,female,heartbroken-but-hot,109,9,pop radio drive,0:06,72,49,164,TRUE,femal-c19,"Bubblegum Pop, heartbroken-but-hot female lead vocal, intimate close-mic to belted release; 109 BPM; production: FM synth bell, claps and snaps, vocal chops topline; theme: first kiss again; hook at 0:06 (name-drop hook); modern radio-ready mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Summer Tonight (feat. The Night),Female Mainstream Pop,Empowerment Pop,female,heartbroken-but-hot,128,9,main character moment,0:06,71,52,131,TRUE,femal-c19,"Empowerment Pop, heartbroken-but-hot female lead vocal, intimate close-mic to belted release; 128 BPM; production: shimmering synth stacks, claps and snaps, punchy radio drums; theme: owning the room; hook at 0:06 (pre-chorus build into anthemic hook); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Glossy Drama,Female Mainstream Pop,Bubblegum Pop,female,iconic,126,6,gym cardio,0:06,72,45,144,TRUE,femal-c19,"Bubblegum Pop, iconic female lead vocal, double-tracked hook stack; 126 BPM; production: bright piano hits, glossy reverb vocals, saturated low end; theme: summer fling; hook at 0:06 (phone-number style chant); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Loud Hours,Female Mainstream Pop,Glossy Radio Pop,female,lovestruck,128,8,main character moment,0:04,70,48,157,TRUE,femal-c19,"Glossy Radio Pop, lovestruck female lead vocal, intimate close-mic to belted release; 128 BPM; production: vocal chops topline, glossy reverb vocals, filtered build-up; theme: champagne crash; hook at 0:04 (earworm vowel-loop hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Honey Trouble (feat. The Night),Female Mainstream Pop,Y2K-Inspired Pop,female,fiery,106,7,gym cardio,0:08,75,42,133,TRUE,femal-c19,"Y2K-Inspired Pop, fiery female lead vocal, anthemic stadium delivery; 106 BPM; production: glossy reverb vocals, shimmering synth stacks, saturated low end; theme: self-love anthem; hook at 0:08 (title-as-hook payoff); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Pink Lights,Female Mainstream Pop,Empowerment Pop,female,heartbroken-but-hot,125,8,main character moment,0:06,79,54,165,TRUE,femal-c20,"Empowerment Pop, heartbroken-but-hot female lead vocal, anthemic stadium delivery; 125 BPM; production: vocal chops topline, FM synth bell, punchy radio drums; theme: messy in love; hook at 0:06 (earworm vowel-loop hook); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Sunset Drama,Female Mainstream Pop,Pop Banger,female,euphoric,115,6,gym cardio,0:08,65,55,125,TRUE,femal-c20,"Pop Banger, euphoric female lead vocal, playful vocal runs; 115 BPM; production: shimmering synth stacks, bright piano hits, filtered build-up; theme: I'm the moment; hook at 0:08 (single-line repeatable hook); billboard-ready master; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Glossy Trouble,Female Mainstream Pop,Stadium Pop,female,lovestruck,127,8,main character moment,0:06,79,46,116,TRUE,femal-c20,"Stadium Pop, lovestruck female lead vocal, anthemic stadium delivery; 127 BPM; production: claps and snaps, sidechain pulse, glossy reverb vocals; theme: main character energy; hook at 0:06 (echoed call-and-response hook); sync-license cinematic finish; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Loud Drama,Female Mainstream Pop,Empowerment Pop,female,heartbroken-but-hot,123,7,gym cardio,0:10,79,44,150,TRUE,femal-c20,"Empowerment Pop, heartbroken-but-hot female lead vocal, playful vocal runs; 123 BPM; production: claps and snaps, filtered build-up, bright piano hits; theme: self-love anthem; hook at 0:10 (phone-number style chant); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Crash Lover,Female Mainstream Pop,Bubblegum Pop,female,fiery,120,7,summer rooftop,0:04,75,46,193,TRUE,femal-c20,"Bubblegum Pop, fiery female lead vocal, anthemic stadium delivery; 120 BPM; production: FM synth bell, filtered build-up, bright piano hits; theme: main character energy; hook at 0:04 (earworm vowel-loop hook); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Famous Dynasty,Female Mainstream Pop,Empowerment Pop,female,flirty,121,8,main character moment,0:10,80,40,140,TRUE,femal-c20,"Empowerment Pop, flirty female lead vocal, anthemic stadium delivery; 121 BPM; production: sidechain pulse, FM synth bell, filtered build-up; theme: main character energy; hook at 0:10 (two-word chant hook); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream female mainstream pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
